NAME_EN,ISO,WIKIDATA,MS_FB_PARE,MS_FB
Abia State,NG-AB,Q320852,country:ng,country:ng/state:ab
Adamawa State,NG-AD,Q337514,country:ng,country:ng/state:ad
Akwa Ibom State,NG-AK,Q424388,country:ng,country:ng/state:ak
Anambra State,NG-AN,Q117714,country:ng,country:ng/state:an
Bauchi State,NG-BA,Q503936,country:ng,country:ng/state:ba
Bayelsa State,NG-BY,Q532153,country:ng,country:ng/state:by
Benue State,NG-BE,Q429908,country:ng,country:ng/state:be
Borno State,NG-BO,Q130626,country:ng,country:ng/state:bo
Cross River State,NG-CR,Q739676,country:ng,country:ng/state:cr
Delta State,NG-DE,Q503910,country:ng,country:ng/state:de
Ebonyi State,NG-EB,Q506808,country:ng,country:ng/state:eb
Edo State,NG-ED,Q682704,country:ng,country:ng/state:ed
Ekiti State,NG-EK,Q534917,country:ng,country:ng/state:ek
Enugu State,NG-EN,Q3817714,country:ng,country:ng/state:en
Gombe State,NG-GO,Q376241,country:ng,country:ng/state:go
Imo State,NG-IM,Q842939,country:ng,country:ng/state:im
Jigawa State,NG-JI,Q682691,country:ng,country:ng/state:ji
Kaduna State,NG-KD,Q878284,country:ng,country:ng/state:kd
Kano State,NG-KN,Q682571,country:ng,country:ng/state:kn
Katsina State,NG-KT,Q657821,country:ng,country:ng/state:kt
Kebbi State,NG-KE,Q748523,country:ng,country:ng/state:ke
Kogi State,NG-KO,Q387745,country:ng,country:ng/state:ko
Kwara State,NG-KW,Q464953,country:ng,country:ng/state:kw
Niger State,NG-NI,Q503932,country:ng,country:ng/state:ni
Ogun State,NG-OG,Q836657,country:ng,country:ng/state:og
Ondo State,NG-ON,Q836654,country:ng,country:ng/state:on
Osun State,NG-OS,Q682721,country:ng,country:ng/state:os
Oyo State,NG-OY,Q503905,country:ng,country:ng/state:oy
Plateau State,NG-PL,Q503928,country:ng,country:ng/state:pl
Rivers State,NG-RI,Q503923,country:ng,country:ng/state:ri
Sokoto State,NG-SO,Q503941,country:ng,country:ng/state:so
Taraba State,NG-TA,Q463959,country:ng,country:ng/state:ta
Yobe State,NG-YO,Q682777,country:ng,country:ng/state:yo
Zamfara State,NG-ZA,Q145793,country:ng,country:ng/state:za
Federal Capital Territory,NG-FC,Q509300,country:ng,country:ng/capital-territory:fc
Lagos,NG-LA,Q815913,country:ng,country:ng/state:la
Nasarawa State,NG-NA,Q836645,country:ng,country:ng/state:na
